"PERS_ID","YM_in","YM_out"
338887071,200809,201304
338890727,200901,201301
338890729,200901,201301
338897589,200809,201211
338899157,200912,201311
338900301,200803,201211
338901029,200801,201206
338902849,200802,201809
338911975,201112,201502
338926679,201110,201702
338929177,200811,201712
338930005,200807,201603
338934837,201011,201311
338934839,201011,201311
338935849,200811,201204
338942639,201105,201809
338947695,200808,201312
338948035,201003,201703
338948479,201007,201703
338952433,200810,201709
338952811,200910,201301
338965043,200901,201501
338968029,201010,201504
338968031,201010,201504
338974283,200905,201502
338976493,200805,201411
338977021,200805,201301
338977863,201104,201704
338980205,200811,201205
338980231,200905,201406
338980437,200912,201306
338980979,201005,201709
338986185,201508,201809
338986441,201107,201607
338986747,201007,201709
338986749,201007,201709
338986753,201007,201709
338991053,201005,201709
338992591,201205,201805
338993257,200812,201202
339003639,201003,201311
339008835,200811,201112
339012249,200907,201212
339012277,201010,201411
339014245,201009,201409
339014247,201009,201409
339021155,201105,201409
339032733,200803,201407
339034645,201207,201602
339038191,200801,201309
339039487,201204,201604
339039489,201204,201701
339039493,201204,201607
339039495,201204,201610
339040701,201006,201502
339044319,200802,201206
339047747,200810,201110
339050103,200812,201412
339050277,201506,201806
339058201,200908,201601
339069253,200812,201203
339070071,201007,201310
339074063,201205,201703
339075201,200810,201709
339078507,200802,201305
339080847,200906,201411
339085347,201102,201503
339086869,201010,201711
339087275,200807,201112
339094381,200909,201808
339100531,200807,201212
339105579,201004,201702
339106121,201002,201302
339106125,201110,201702
339111315,201405,201708
339115963,201102,201409
339117713,200912,201212
339119463,200808,201705
339121367,200901,201611
339125963,201009,201311
339131353,200812,201408
339131595,201003,201411
339135255,200902,201210
339137385,201008,201308
339137391,201106,201606
339142557,200809,201110
339142635,201501,201806
339144335,200911,201707
339150713,201112,201707
339157837,200804,201111
339159997,200906,201407
339162605,200906,201611
339172081,200806,201405
339176941,200807,201304
339181635,200804,201406
339182465,200810,201503
339183463,200811,201712
339185129,200907,201308
339185939,200912,201601
339185941,200912,201601
339189335,201009,201710
339189741,201006,201405
339195935,200911,201401
339199129,200811,201407
339200883,201212,201604
339202605,200809,201708
339202607,200809,201307
339203869,201110,201508
339203871,201110,201508
339216821,201005,201511
339217485,201109,201706
339219293,200808,201112
339222323,200901,201302
339223911,201207,201808
339224979,201007,201412
339226197,200804,201406
339238605,200904,201212
339240667,201005,201310
339242675,201111,201703
339243819,200804,201701
339243951,200907,201402
339244147,201101,201607
339244241,201302,201701
339249427,201409,201803
339249965,201001,201501
339256239,201012,201510
339257539,200901,201305
339258727,200804,201112
339262279,201101,201601
339262367,200811,201406
339262409,200909,201407
339266795,201010,201408
339270289,201103,201408
339275715,201101,201501
339279741,201111,201605
339280511,201111,201605
339282019,201009,201402
339293577,201301,201610
339299081,201206,201708
339302121,201107,201501
339305983,201409,201808
339307327,201105,201809
339308161,200807,201308
339308163,200909,201308
339314361,201410,201804
339317263,201204,201809
339317869,200809,201609
339319727,201106,201602
339319729,201106,201602
339321677,201209,201605
339326015,200812,201203
339326423,200807,201612
339327163,200909,201210
339328073,200810,201212
339328075,200810,201212
339331063,201011,201607
339348429,200801,201508
339350615,200904,201411
339351983,200809,201405
339357255,200810,201401
339357257,200810,201401
339357977,200810,201410
339365135,201101,201805
339367239,201107,201507
339367631,201004,201706
339368955,201011,201609
339369409,201208,201607
339377795,200810,201209
339377797,200810,201209
339382637,201110,201410
339385663,200811,201601
339385665,200811,201601
339387807,200805,201209
339390673,201008,201806
339393647,201205,201607
339396877,201007,201505
339398301,201209,201712
339399491,200901,201409
339405511,200812,201502
339406345,201101,201407
339413059,201201,201612
339414185,200806,201209
339415851,201107,201708
339417817,200912,201402
339418185,200802,201406
339422503,201104,201512
339424885,201401,201701
339426857,200809,201408
339437063,200912,201401
339441463,200911,201802
339447817,201206,201711
339453023,201104,201703
339457905,201105,201701
339457907,201105,201701
339458617,200908,201209
339459445,200809,201210
339462597,201408,201803
339467341,200801,201105
339469489,201004,201503
339470245,201210,201607
339471731,201111,201804
339480453,200909,201510
339482933,200910,201408
339487873,200810,201403
339491329,201112,201803
339493249,201203,201606
339502249,200811,201403
339504081,200802,201801
339506901,201201,201601
339510745,200805,201107
339511217,201009,201403
339518189,200904,201701
339518191,200904,201701
339519937,201007,201709
339521311,201405,201806
339522099,200904,201803
339523489,200801,201102
339523491,200801,201102
339526901,200910,201501
339526905,200910,201501
339533717,200812,201206
339534445,200805,201306
339536465,201111,201607
339536467,201111,201607
339536965,201011,201601
339538951,201105,201808
339540785,200901,201406
339544433,200802,201112
339548067,200806,201311
339548321,200805,201706
339549041,200811,201509
339551723,200904,201205
339552451,201203,201704
339552453,201203,201704
339553225,201107,201411
339553999,200902,201607
339559947,200804,201209
339561411,201104,201406
339562361,201005,201601
339563575,200902,201212
339568721,201203,201709
339570343,201002,201312
339570819,200802,201206
339571195,200907,201207
339572603,200904,201307
339573657,200904,201310
339579781,201010,201407
339579927,201009,201311
339581487,201007,201307
339582161,201102,201408
339584405,200803,201206
339587017,200905,201705
339589909,200803,201707
339598111,201003,201308
339613557,201012,201501
339615631,201104,201605
339617305,200911,201211
339626247,200907,201501
339626273,201405,201804
339628711,200906,201504
339634781,200802,201509
339638327,200903,201203
339642905,200801,201105
339647115,200804,201806
339656473,201006,201311
339657165,201011,201505
339658247,201107,201604
339659917,201203,201702
339662865,200903,201407
339669353,201307,201706
339670517,201308,201611
339670867,200801,201711
339673437,201006,201307
339676581,201109,201707
339677237,201103,201809
339677239,201103,201809
339682069,200808,201109
339684593,201002,201308
339687449,200902,201208
339688967,201002,201605
339689635,200807,201504
339690201,200909,201209
339692951,201109,201802
339697329,200807,201405
339703495,201111,201804
339706337,201012,201405
339709027,201106,201703
339714381,200801,201101
339743379,201003,201512
339743995,200806,201112
339752123,200804,201110
339752143,201011,201408
339758919,200805,201201
339763167,201101,201510
339765079,201204,201810
339765327,201005,201606
339767033,201004,201807
339767299,200905,201209
339768315,200907,201611
339770835,201101,201607
339775171,200810,201203
339775253,200801,201107
339775255,200801,201107
339775259,200902,201504
339775261,200902,201504
339782207,200802,201108
339794487,200809,201109
339797347,200802,201410
339808399,200808,201112
339810527,200812,201206
339815995,201104,201603
339816119,201010,201610
339816219,200902,201407
339816713,200802,201105
339820511,200805,201112
339824417,200907,201706
339824955,200801,201710
339825739,200909,201408
339826973,201306,201805
339826997,200907,201208
339831389,200907,201306
339833377,201002,201303
339835647,201304,201705
339835707,201203,201608
339839249,200803,201502
339842929,201104,201407
339842931,201104,201407
339847691,200905,201305
339847693,200905,201305
339847699,201006,201307
339849193,201009,201405
339851773,201405,201803
339852761,200806,201611
339853471,201106,201611
339859177,201203,201512
339861259,200808,201509
339862135,201206,201612
339862253,200806,201209
339862255,200806,201209
339862481,200806,201106
339871517,200908,201805
339871519,200908,201805
339871987,201012,201601
339873741,201306,201607
339873743,201306,201612
339881713,200808,201508
339882113,200803,201204
339884425,201103,201405
339885143,200804,201406
339885147,200809,201201
339886833,200905,201305
339888489,201102,201608
339889289,200902,201310
339891427,200909,201312
339891429,200909,201312
339891431,200909,201312
339891433,200909,201312
339891435,200909,201312
339891447,200808,201806
339891449,200808,201806
339891977,201106,201601
339892189,201302,201810
339892381,200902,201302
339892483,200906,201211
339892711,201004,201305
339894729,200807,201509
339894741,200804,201312
339894743,200804,201306
339894913,200810,201211
339895577,201005,201403
339899529,201301,201606
339899957,201404,201707
339900363,200811,201501
339900365,200811,201501
339900525,201109,201603
339900529,201109,201502
339900531,201109,201502
339902513,200801,201306
339904633,200805,201705
339904857,200812,201311
339906163,200805,201206
339906291,200902,201310
339906553,201107,201407
339907203,200804,201407
339907219,200912,201707
339907221,200912,201707
339907477,201006,201307
339911669,201107,201607
339912759,200905,201306
339912763,200904,201509
339914469,201112,201703
339914471,201112,201712
339914675,201305,201609
339916679,201204,201508
339916693,201202,201807
339919575,200909,201411
339920037,200805,201202
339921463,200810,201511
339922127,200806,201405
339923485,201006,201401
339926535,200802,201303
339927673,201201,201708
339928691,200807,201307
339930423,200803,201612
339931499,200801,201312
339933105,201310,201808
339934513,200909,201306
339935971,200803,201207
339936267,201008,201401
339942211,201105,201610
339943091,201210,201606
339943935,200803,201307
339944717,200812,201406
339946767,201108,201504
339947639,201012,201806
339947641,201012,201806
339947937,201204,201509
339950737,201102,201503
339958233,201107,201502
339958235,201107,201502
339958479,201105,201503
339960343,201002,201511
339961273,200912,201506
339964631,200805,201503
339973679,200805,201608
339976259,200912,201703
339979903,200801,201105
339982623,201001,201411
339985165,200811,201112
339985227,201203,201509
339985513,201104,201702
339986161,201108,201803
339990159,200804,201702
339990693,200801,201107
339990695,200801,201107
339990953,200803,201206
339991717,200810,201111
339992827,200812,201208
339993119,200912,201508
339994419,201006,201608
339994449,200805,201510
339996349,201309,201703
339996423,201210,201612
339996763,201105,201406
339998129,200903,201212
339998131,200903,201212
339999137,201407,201804
340000997,200808,201201
340002257,200812,201411
340002429,201012,201607
340002799,200812,201412
340002973,200812,201506
340003659,200906,201304
340005533,200810,201110
340006191,201109,201508
340006739,201004,201309
340007623,200809,201110
340008675,201008,201603
340010469,200910,201309
340010705,200911,201307
340011685,200901,201203
340012131,200907,201608
340013753,200811,201508
340016313,201102,201604
340016851,200805,201206
340017543,201112,201707
340018253,200812,201505
340020309,201312,201709
340020849,201107,201506
340020891,201309,201810
340022043,201104,201705
340022045,201104,201705
340023501,201311,201611
340024035,201312,201709
340025243,200810,201404
340027059,200810,201110
340028375,201202,201602
340028377,200906,201303
340028617,201211,201705
340030221,200812,201412
340030535,201105,201405
340033337,200901,201306
340034747,200804,201402
340035887,201105,201411
340035889,201105,201711
340036517,200905,201209
340037657,201107,201702
340039315,200909,201210
340041531,201011,201711
340042725,201001,201510
340044967,200810,201406
340046257,201112,201805
340046259,201112,201805
340046669,200907,201411
340047353,201109,201502
340048423,200804,201208
340048425,200804,201208
340050417,200808,201409
340051241,200809,201611
340054489,200906,201304
340054667,201408,201806
340059961,201001,201412
340060623,201110,201702
340060683,200801,201508
340064455,200911,201411
340065025,200811,201211
340066197,201001,201802
340066547,200802,201202
340067471,201204,201509
340068211,200812,201501
340069987,200804,201412
340072409,200805,201608
340072725,201206,201705
340075419,200806,201208
340075519,200801,201305
340075563,201004,201606
340076195,201109,201706
340076441,201008,201508
340077439,201006,201509
340077509,201103,201805
340078819,200802,201706
340079353,200804,201211
340079799,200801,201607
340080137,200906,201405
340080205,200803,201307
340081103,200808,201305
340082025,201003,201312
340082403,200804,201312
340082555,200810,201701
340083205,200812,201409
340084111,201001,201302
340085427,200807,201107
340085977,200907,201306
340086061,201112,201702
340086091,200811,201510
340086645,201109,201509
340087239,201006,201512
340089169,200804,201312
340089215,201108,201706
340089507,200905,201801
340089811,201104,201410
340090521,200802,201407
340090705,201111,201411
340090807,201402,201806
340090863,200803,201311
340091557,200812,201303
340091781,200805,201206
340092207,201009,201407
340093785,201104,201609
340093949,200909,201306
340095611,200801,201311
340096149,200812,201401
340098167,200902,201206
340106335,201007,201401
340108197,200811,201302
340109741,200902,201309
340109783,200901,201207
340110029,200804,201506
340112321,200811,201210
340114829,200907,201211
340115997,201301,201606
340116955,201007,201409
340118701,201203,201601
340118841,200812,201303
340119105,201106,201801
340119965,200806,201209
340120425,201202,201505
340120793,200801,201206
340121501,201106,201412
340121605,201002,201507
340121839,201007,201512
340122903,201106,201612
340124005,200910,201503
340124147,200806,201212
340124885,200808,201405
340125203,201311,201809
340126723,201001,201302
340126763,200903,201409
340127119,200805,201206
340128033,201212,201608
340128085,200808,201311
340128245,201108,201703
340128535,201201,201803
340128677,201106,201801
340128779,200801,201309
340129025,200902,201608
340130645,201306,201803
340132401,201102,201707
340132451,200805,201504
340132525,201310,201612
340132819,201311,201804
340133063,200903,201506
340133137,200802,201109
340133851,201107,201612
340134027,201103,201603
340135421,201008,201708
340135885,200801,201305
340136459,201202,201601
340136587,200902,201211
340138379,201104,201407
340139499,201107,201603
340139675,201002,201406
340141547,200808,201803
340141549,200808,201309
340141955,201308,201611
340142067,200907,201302
340145165,201111,201608
340145627,201103,201510
340145721,200808,201610
340145777,201004,201603
340145779,201004,201804
340145863,201208,201802
340145865,201208,201801
340146211,201010,201712
340148567,200807,201311
340149019,201006,201608
340149971,200902,201210
340150561,201106,201507
340150729,201406,201803
340150891,201103,201505
340150893,201103,201505
340151457,200804,201507
340151677,200807,201403
340152145,200801,201107
340152183,201105,201702
340152225,201005,201411
340152403,201105,201411
340153587,201207,201609
340157389,201012,201406
340157519,200910,201412
340157663,200903,201409
340157685,200812,201503
340157695,200812,201410
340158421,201011,201807
340158433,201011,201807
340160555,201305,201805
340160575,201209,201808
340160607,200903,201203
340162073,201104,201411
340162709,200804,201706
340162711,200804,201706
340163059,200806,201210
340164191,200901,201609
340164773,200802,201307
340165361,200802,201306
340165911,201311,201809
340166643,201104,201603
340166809,200801,201209
340167623,200801,201102
340168019,200801,201402
340169299,200903,201204
340169525,200801,201605
340169699,200801,201711
340169703,200801,201711
340169975,200801,201311
340170265,200801,201307
340170381,200801,201409
340170583,200801,201607
340170585,200801,201607
340170691,201202,201709
340170705,200801,201502
340170707,200801,201502
340171143,200801,201507
340171235,201008,201612
340171241,200801,201203
340171249,200801,201504
340171795,200801,201108
340171797,200801,201108
340171977,200801,201103
340172083,200801,201401
340172215,200801,201303
340172223,200801,201509
340172403,200801,201508
340172431,200801,201410
340172433,200801,201508
340172899,200801,201110
340172959,200801,201303
340173249,201007,201605
340173285,200801,201412
340173527,200801,201405
340173563,200801,201401
340173767,200904,201802
340173865,200801,201303
340173969,200812,201405
340174211,200801,201105
340174225,200801,201206
340174367,200801,201303
340174505,200801,201306
340174533,200801,201407
340175043,201007,201406
340175045,201007,201406
340175047,201007,201406
340175191,200801,201104
340175193,200801,201104
340175303,200801,201409
340175445,201112,201505
340175455,200801,201208
340175655,200801,201810
340175765,201002,201307
340175767,201002,201307
340175857,200802,201304
340175955,200802,201308
340176087,200801,201211
340176095,200801,201302
340176103,200801,201107
340176201,200801,201210
340176215,200801,201712
340176279,200801,201307
340176393,200801,201410
340176403,200801,201611
340176427,200809,201511
340176431,200801,201404
340176607,200801,201805
340176651,200801,201102
340176707,200801,201305
340176709,200801,201505
340176811,200801,201608
340176953,200801,201302
