arrival_location_id,Nationality_norm
18d79a06,somalia
18d79a06,southsudan
18d79a06,sudan
18d79a06,syria
18d79a06,tanzania
18d79a06,uganda
18d79a06,ukraine
18d79a06,venezuela
f8fa5674,afghanistan
f8fa5674,burma
f8fa5674,demrepcongo
f8fa5674,colombia
f8fa5674,elsalvador
f8fa5674,falklandislandsislasmalvinas
f8fa5674,iraq
f8fa5674,pakistan
f8fa5674,syria
f8fa5674,ukraine
e3d3341c,afghanistan
e3d3341c,algeria
e3d3341c,bosniaandherzegovina
e3d3341c,burma
e3d3341c,guatemala
e3d3341c,syria
e3d3341c,ukraine
dea9da1f,afghanistan
dea9da1f,armenia
dea9da1f,colombia
dea9da1f,guatemala
dea9da1f,syria
dea9da1f,ukraine
dea9da1f,venezuela
450d082e,afghanistan
450d082e,burma
450d082e,congo
450d082e,demrepcongo
450d082e,colombia
450d082e,centralafricanrepublic
450d082e,eritrea
450d082e,elsalvador
450d082e,guatemala
450d082e,hongkong
450d082e,honduras
450d082e,iran
450d082e,iraq
450d082e,syria
450d082e,ukraine
450d082e,venezuela
2d268e1a,afghanistan
2d268e1a,bosniaandherzegovina
2d268e1a,burma
2d268e1a,demrepcongo
2d268e1a,cuba
2d268e1a,eritrea
2d268e1a,iraq
2d268e1a,nepal
2d268e1a,russia
2d268e1a,somalia
2d268e1a,sudan
2d268e1a,ukraine
3f92aae8,afghanistan
3f92aae8,burma
3f92aae8,bhutan
3f92aae8,burundi
3f92aae8,demrepcongo
3f92aae8,colombia
3f92aae8,cuba
3f92aae8,ecuador
3f92aae8,eritrea
3f92aae8,elsalvador
3f92aae8,ethiopia
3f92aae8,guatemala
3f92aae8,haiti
3f92aae8,honduras
3f92aae8,iran
3f92aae8,iraq
3f92aae8,mexico
3f92aae8,rwanda
3f92aae8,somalia
3f92aae8,southsudan
3f92aae8,sudan
3f92aae8,syria
3f92aae8,ukraine
3f92aae8,vietnam
45ff63ad,afghanistan
45ff63ad,burma
45ff63ad,belarus
45ff63ad,congo
45ff63ad,demrepcongo
45ff63ad,colombia
45ff63ad,cuba
45ff63ad,eritrea
45ff63ad,ethiopia
45ff63ad,guatemala
45ff63ad,hungary
45ff63ad,iran
45ff63ad,iraq
45ff63ad,lebanon
45ff63ad,libya
45ff63ad,nicaragua
45ff63ad,somalia
45ff63ad,southsudan
45ff63ad,syria
45ff63ad,ukraine
45ff63ad,venezuela
45ff63ad,vietnam
45ff63ad,yemen
f8083df7,afghanistan
de5bb19c,afghanistan
de5bb19c,burma
de5bb19c,elsalvador
de5bb19c,guatemala
de5bb19c,honduras
de5bb19c,somalia
19c12683,afghanistan
19c12683,egypt
19c12683,elsalvador
19c12683,india
19c12683,iran
19c12683,iraq
19c12683,pakistan
19c12683,syria
19c12683,ukraine
56af9059,unitedstatesofamerica
a4c4135a,afghanistan
a4c4135a,burma
a4c4135a,iraq
a4c4135a,moldova
a4c4135a,russia
a4c4135a,syria
a4c4135a,ukraine
eabc1905,afghanistan
eabc1905,bangladesh
eabc1905,burma
eabc1905,demrepcongo
eabc1905,eritrea
eabc1905,ethiopia
eabc1905,indonesia
eabc1905,iraq
eabc1905,malaysia
eabc1905,pakistan
eabc1905,somalia
eabc1905,sudan
eabc1905,syria
3f60c16b,mali
3f60c16b,colombia
3f60c16b,burma
3f60c16b,eritrea
3f60c16b,syria
3f60c16b,indonesia
3f60c16b,somalia
3f60c16b,pakistan
3f60c16b,elsalvador
3f60c16b,iraq
3f60c16b,afghanistan
3f60c16b,honduras
3f60c16b,nepal
3f60c16b,sudan
3f60c16b,centralafricanrepublic
547082d0,palestine
