"PERS_ID","YM_start","YM_end"
128110501,201304,201309
128110501,201310,201409
128176303,200403,200403
128189985,201605,201704
128189985,201704,201804
128189985,201804,201804
128193933,190001,190001
128193933,201409,201609
128193933,201609,201704
128193933,201204,201204
128193933,201207,201409
128196921,200901,200903
128201175,199812,199902
128201175,199909,199912
128205603,201504,201705
128208577,201303,201309
128208829,201409,201507
128208829,201507,201606
128208829,201607,201608
128208829,201103,201112
128208829,201402,201409
128218885,201010,201011
128218885,201103,201104
128218885,201109,201406
128236125,201005,201607
128276401,201503,201509
128276401,201705,201707
128291453,200106,200210
128291453,200210,200812
128312111,200407,200412
128312111,200606,200810
128315241,201501,201508
128315241,201106,201206
128318497,200910,201209
128332091,201511,201707
128375347,201604,201704
128380453,200506,200509
128380453,200512,200603
128380453,200606,200609
128380453,200706,200710
128380453,200712,200910
128380453,201708,201809
128380849,200105,200107
128380849,200109,200303
128397107,201001,201001
128397107,201106,201112
128425149,201310,201505
128425149,201007,201108
128425149,201202,201502
128425149,201306,201502
128425149,201507,201509
128433331,200009,200010
128433331,200111,200703
128454109,201305,201510
128473447,200604,200705
128479191,200803,200806
128479191,200807,200810
128544489,201308,201608
128550091,201503,201505
128550091,201709,201803
128554007,200911,201001
128554007,201003,201406
128565855,201410,201502
128572345,200703,200706
128599909,200904,200908
128599909,200910,200911
128599909,201006,201009
128599909,201105,201105
128599909,201011,201101
128604285,201702,201702
128604285,201702,201705
128628837,201010,201501
128636127,201401,201604
128644907,201503,201602
128644907,201007,201010
128644907,201011,201104
128644907,201112,201302
128644907,201303,201406
128644907,201407,201412
128644907,201501,201503
128752005,201103,201309
128752005,201701,201704
128759937,200008,200009
128759937,200011,200107
128759937,200207,200209
128759937,200509,200702
128765965,200408,200408
128774803,200306,200402
128774803,200407,200412
128774803,200512,200905
128804319,200406,200608
128804319,200608,200702
128804319,200709,200801
128809529,201012,201201
128827331,200009,200011
128827331,200011,200308
128856547,200110,200111
128873703,201301,201308
128873703,201111,201311
128873703,201408,201511
128873703,201109,201407
128873703,201607,201608
128873703,201109,201711
128873703,201609,201711
128887975,200103,200107
128887975,200305,200306
128887975,201607,201611
128890259,200504,200510
128936431,201407,201408
128936431,201510,201609
128980633,200904,200906
128980633,201103,201104
128990985,200807,200910
129007247,200006,200010
129007247,200103,200103
129007247,200103,200109
129007247,200111,200111
129017255,201501,201502
129017373,199607,199709
129017373,200012,200103
129017373,200105,200402
129032623,201001,201312
129032623,201401,201505
129057705,200108,200204
129057705,201405,201406
129128543,200204,200208
129128543,200302,200302
129134557,201705,201707
129134557,201804,201804
129134557,201806,201806
129134557,201806,201806
129134557,201806,201806
129143663,200408,200607
129191025,201606,201612
129191025,201701,201706
129246985,201112,201112
129248375,201404,201503
129248375,201703,201708
129248375,201306,201306
129248375,201308,201404
129273059,201501,201809
129273059,200406,200406
129273059,200412,200509
129275509,200008,200101
129275509,200105,200202
129296399,200607,200707
129296399,200708,200805
129315641,200201,200204
129323225,201202,201205
129323225,201507,201702
129357085,201003,201102
129373133,201101,201101
